Cues	Outcomes	Frequency
#a_an_nd_d#	and	1
#l_la_ad_d#	lad	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad_plural	1
#l_la_as_ss_s#	lass	1
#h_ha_an_nd_ds_s#	hand_plural	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#a_an_nd_d#	and	1
#l_la_ad_d#	lad_plural	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad_plural	1
#l_la_ad_d#	lad_plural	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad_plural	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#l_la_as_ss_s#	lass	1
#a_as_s#	as	1
#h_ha_an_nd_ds_s#	hand_plural	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad_plural	1
#l_la_ad_d#	lad	1
#a_an_nd_d#	and	1
#a_as_s#	as	1
#s_sa_ad_d#	sad	1
#l_la_ad_d#	lad_plural	1
#a_an_nd_d#	and	1
#a_an_nd_d#	and	1
#h_ha_an_nd_ds_s#	hand_plural	1
#l_la_ad_d#	lad_plural	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad	1
#a_as_s#	as	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad	1
#a_an_nd_d#	and	1
#a_an_nd_d#	and	1
#l_la_as_ss_s#	lass	1
#a_an_nd_d#	and	1
#l_la_ad_d#	lad	1
#l_la_as_ss_s#	lass	1
#h_ha_an_nd_d#	hand	1
#l_la_ad_d#	lad_plural	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad	1
#h_ha_an_nd_ds_s#	hand_plural	1
#l_la_as_ss_s#	lass	1
#a_an_nd_d#	and	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad	1
#l_la_as_ss_s#	lass	1
#a_an_nd_d#	and	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad_plural	1
#l_la_an_nd_d#	land	1
#l_la_ad_d#	lad_plural	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad_plural	1
#h_ha_an_nd_d#	hand	1
#l_la_as_ss_s#	lass	1
#h_ha_an_nd_ds_s#	hand_plural	1
#s_sa_ad_d#	sad	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad_plural	1
#l_la_ad_d#	lad_plural	1
#l_la_ad_d#	lad	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#a_an_nd_d#	and	1
#l_la_as_ss_s#	lass	1
#a_as_s#	as	1
#l_la_ad_d#	lad	1
#a_as_s#	as	1
#a_as_s#	as	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#a_an_nd_d#	and	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad_plural	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_an_nd_d#	land	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#a_an_nd_d#	and	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#h_ha_an_nd_d#	hand	1
#h_ha_an_nd_ds_s#	hand_plural	1
#a_an_nd_d#	and	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad_plural	1
#a_an_nd_d#	and	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#a_as_s#	as	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_an_nd_d#	land	1
#l_la_as_ss_s#	lass	1
#a_an_nd_d#	and	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad_plural	1
#s_sa_ad_d#	sad	1
#h_ha_an_nd_ds_s#	hand_plural	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad_plural	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#l_la_an_nd_d#	land	1
#l_la_ad_d#	lad	1
#a_as_s#	as	1
#l_la_an_nd_d#	land	1
#s_sa_ad_d#	sad	1
#l_la_ad_d#	lad_plural	1
#l_la_ad_d#	lad	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad_plural	1
#l_la_as_ss_s#	lass	1
#a_an_nd_d#	and	1
#l_la_ad_d#	lad	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad_plural	1
#l_la_an_nd_d#	land	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad	1
#a_an_nd_d#	and	1
#l_la_ad_d#	lad	1
#a_as_s#	as	1
#s_sa_ad_d#	sad	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#a_an_nd_d#	and	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#l_la_an_nd_d#	land	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad	1
#a_as_s#	as	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad_plural	1
#a_an_nd_d#	and	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#h_ha_an_nd_ds_s#	hand_plural	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad	1
#h_ha_an_nd_ds_s#	hand_plural	1
#s_sa_ad_d#	sad	1
#s_sa_ad_d#	sad	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad_plural	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#l_la_an_nd_d#	land	1
#a_an_nd_d#	and	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad_plural	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#a_an_nd_d#	and	1
#l_la_ad_d#	lad_plural	1
#l_la_as_ss_s#	lass	1
#a_as_s#	as	1
#l_la_ad_d#	lad_plural	1
#a_as_s#	as	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#a_as_s#	as	1
#l_la_ad_d#	lad_plural	1
#a_an_nd_d#	and	1
#l_la_ad_d#	lad_plural	1
#a_as_s#	as	1
#h_ha_an_nd_ds_s#	hand_plural	1
#a_an_nd_d#	and	1
#l_la_ad_d#	lad	1
#l_la_as_ss_s#	lass	1
#a_as_s#	as	1
#a_as_s#	as	1
#l_la_as_ss_s#	lass	1
#h_ha_an_nd_d#	hand	1
#a_an_nd_d#	and	1
#l_la_an_nd_ds_s#	land_plural	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad_plural	1
#l_la_ad_d#	lad_plural	1
#l_la_ad_d#	lad_plural	1
#a_as_s#	as	1
#l_la_ad_d#	lad_plural	1
#l_la_ad_d#	lad	1
#l_la_as_ss_s#	lass	1
#s_sa_ad_d#	sad	1
#l_la_ad_d#	lad_plural	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad_plural	1
#a_an_nd_d#	and	1
#l_la_ad_d#	lad_plural	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#a_an_nd_d#	and	1
#h_ha_an_nd_ds_s#	hand_plural	1
#l_la_an_nd_ds_s#	land_plural	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#a_as_s#	as	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad_plural	1
#l_la_ad_d#	lad_plural	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad_plural	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad_plural	1
#a_an_nd_d#	and	1
#h_ha_an_nd_ds_s#	hand_plural	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad_plural	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_ad_d#	lad_plural	1
#a_an_nd_d#	and	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#h_ha_an_nd_d#	hand	1
#l_la_ad_d#	lad	1
#l_la_ad_d#	lad	1
#l_la_as_ss_s#	lass	1
#l_la_as_ss_s#	lass	1
#s_sa_ad_d#	sad	1
#l_la_as_ss_s#	lass	1
#a_as_s#	as	1
#l_la_ad_d#	lad_plural	1
#l_la_as_ss_s#	lass	1
